CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo,clasificacion,estatus_publicacion,prioridad_comercial,score_publicabilidad,motivo_clasificacion,accion_siguiente,municipio,direccion_completa,tiene_telefono,tiene_correo,tiene_web,tiene_coordenadas,publish_rank,publication_score,public_name,category_public,estado_slug,municipio_slug,business_slug,url_path,canonical_url,published_status,published_at,scheduled_date,publication_batch,noindex,sitemap_include,sitemap_priority,sitemap_changefreq,lastmod,schema_type,h1,seo_title,seo_description,public_description,source,pre_publish_check
19039468211005822002000000U7,2969909,VENTA DE REFACCIONES,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CALLE,WASHINGTON,1301,,CENTRO,64000,"Monterrey, Monterrey, Nuevo León",8183408700,INFO6@ROSCO.COM.MX,WWW.ROSCO.COM.MX,Fijo,-100.32609315,25.67577063,,,,1667,005,468211,,46,468,4682,46821,,COLONIA,2014-12,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"CALLE, WASHINGTON, 1301, CENTRO, 64000, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,1,84,Venta De Refacciones,Refacciones diesel y camión,nuevo-leon,monterrey,venta-de-refacciones-monterrey-969909,/nuevo-leon/monterrey/venta-de-refacciones-monterrey-969909/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/venta-de-refacciones-monterrey-969909/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Venta De Refacciones en Monterrey, Nuevo León","Venta De Refacciones | Refaccionaria en Monterrey, Nuevo León","Ficha de Venta De Refacciones, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Venta De Refacciones es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039436111000092000000000U3,3028998,TRACTOPARTES MARROQUIN,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CALLE,ALFONSO SANTOS PALOMO,329,,COYOACAN,64510,"Monterrey, Monterrey, Nuevo León",8181919451,SUPERTRACTOPARTESHM@YAHOO.COM.MX,TRACTOPARTESMARROQUIN.COM,Fijo,-100.28019959,25.70536841,,,,0851,006,468211,,46,468,4682,46821,,COLONIA,2010-07,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"CALLE, ALFONSO SANTOS PALOMO, 329, COYOACAN, 64510, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,2,84,Tractopartes Marroquin,Refacciones diesel y camión,nuevo-leon,monterrey,tractopartes-marroquin-monterrey-028998,/nuevo-leon/monterrey/tractopartes-marroquin-monterrey-028998/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/tractopartes-marroquin-monterrey-028998/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Tractopartes Marroquin en Monterrey, Nuevo León","Tractopartes Marroquin | Refaccionaria en Monterrey, Nuevo León","Ficha de Tractopartes Marroquin, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Tractopartes Marroquin es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211005454001000000U9,6365052,TRACTO REFACCIONES AMERICA,TRACTO-REFACCIONES AMERICA,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,FÉLIX URESTI GÓMEZ,4201,,INDUSTRIAL BENITO JUAREZ,64510,"Monterrey, Monterrey, Nuevo León",8180305960,CRODRIGUEZ@TRASA.COM.MX,WWW.TRASA.COM.MX,Fijo,-100.28307311,25.70696336,,,,0851,014,468211,,46,468,4682,46821,,COLONIA,2010-07,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"AVENIDA, FÉLIX URESTI GÓMEZ, 4201, INDUSTRIAL BENITO JUAREZ, 64510, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,3,84,Tracto Refacciones America,Refacciones diesel y camión,nuevo-leon,monterrey,tracto-refacciones-america-monterrey-365052,/nuevo-leon/monterrey/tracto-refacciones-america-monterrey-365052/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/tracto-refacciones-america-monterrey-365052/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Tracto Refacciones America en Monterrey, Nuevo León","Tracto Refacciones America | Refaccionaria en Monterrey, Nuevo León","Ficha de Tracto Refacciones America, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Tracto Refacciones America es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211011952000000000U4,10938644,REFACCIONES,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,ADOLFO RUIZ CORTINES,,,COYOACÁN,64510,"Monterrey, Monterrey, Nuevo León",8180516708,QUIKEJN@HOTMAIL.COM,WWW.TRACTREFACCIONESSBASTIAN.COM,Fijo,-100.28490554,25.70382218,,,,0851,010,468211,,46,468,4682,46821,,COLONIA,2024-11,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"AVENIDA, ADOLFO RUIZ CORTINES, COYOACÁN, 64510, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,4,84,Refacciones,Refacciones diesel y camión,nuevo-leon,monterrey,refacciones-monterrey-938644,/nuevo-leon/monterrey/refacciones-monterrey-938644/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/refacciones-monterrey-938644/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Refacciones en Monterrey, Nuevo León","Refacciones | Refaccionaria en Monterrey, Nuevo León","Ficha de Refacciones, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Refacciones es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211009821000000000U5,8297900,MOTO EQUIPO Y REFACCIONES STIHLE,MOTO EQUIPO Y REFACCIONES STIHLE,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,AVENIDA,EUGENIO GARZA SADA,6302,,CIUDAD SATÉLITE,64960,"Monterrey, Monterrey, Nuevo León",8181037484,STHILMONTERREY@GMAIL.COM,WWW.STHILMONTERREY.COM,Fijo,-100.26786161,25.60436847,CENTRO Y PLAZA COMERCIAL,SIN NOMBRE,2,235A,020,468211,1,46,468,4682,46821,EDIFICIO SIN NOMBRE,COLONIA,2019-11,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"AVENIDA, EUGENIO GARZA SADA, 6302, CIUDAD SATÉLITE, 64960, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,5,84,Moto Equipo Y Refacciones Stihle,Refacciones diesel y camión,nuevo-leon,monterrey,moto-equipo-y-refacciones-stihle-monterrey-297900,/nuevo-leon/monterrey/moto-equipo-y-refacciones-stihle-monterrey-297900/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/moto-equipo-y-refacciones-stihle-monterrey-297900/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Moto Equipo Y Refacciones Stihle en Monterrey, Nuevo León","Moto Equipo Y Refacciones Stihle | Refaccionaria en Monterrey, Nuevo León","Ficha de Moto Equipo Y Refacciones Stihle, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Moto Equipo Y Refacciones Stihle es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211004232000000000U0,2972461,FILTROS Y REFACCIONES DE MONTERREY,FILTROS Y REFACCIONES DE MONTERREY,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,CALLE,MORA,2865,,MODERNA,64530,"Monterrey, Monterrey, Nuevo León",8183520440,CONTABILIDAD@FILTROSYREFACCIONES.COM,WWW.FILTROSYREFACCIONES.COM,Fijo,-100.27846972,25.69924273,,,,1099,011,468211,,46,468,4682,46821,,COLONIA,2014-12,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"CALLE, MORA, 2865, MODERNA, 64530, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,6,84,Filtros Y Refacciones De Monterrey,Refacciones diesel y camión,nuevo-leon,monterrey,filtros-y-refacciones-de-monterrey-monterrey-972461,/nuevo-leon/monterrey/filtros-y-refacciones-de-monterrey-monterrey-972461/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/filtros-y-refacciones-de-monterrey-monterrey-972461/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Filtros Y Refacciones De Monterrey en Monterrey, Nuevo León","Filtros Y Refacciones De Monterrey | Refaccionaria en Monterrey, Nuevo León","Ficha de Filtros Y Refacciones De Monterrey, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Filtros Y Refacciones De Monterrey es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211005273001000000U3,3031708,CHM AUTOPARTES,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,NUEVA ROSITA,1215,,MADERO,64103,"Monterrey, Monterrey, Nuevo León",8183558705,CARBURADORESHENRY@YAHOO.COM.MX,WWW.CARBURADORESHENRY.COM,Fijo,-100.28526056,25.68429598,,,,1385,015,468211,,46,468,4682,46821,,COLONIA,2010-07,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"CALLE, NUEVA ROSITA, 1215, MADERO, 64103, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,7,84,Chm Autopartes,Refacciones diesel y camión,nuevo-leon,monterrey,chm-autopartes-monterrey-031708,/nuevo-leon/monterrey/chm-autopartes-monterrey-031708/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/chm-autopartes-monterrey-031708/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Chm Autopartes en Monterrey, Nuevo León","Chm Autopartes | Refaccionaria en Monterrey, Nuevo León","Ficha de Chm Autopartes, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Chm Autopartes es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211012731000000000U1,12296498,AUTO ELECTRICA DIESEL,AUTO ELECTRICA DIESEL,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,AVENIDA,GENERAL BERNARDO REYES,1823,,INDUSTRIAL,64440,"Monterrey, Monterrey, Nuevo León",8181060050,VENTASMTY@AEDIESEL.COM,WWW.AUTOELECTRICADIESEL.COM,Fijo,-100.3240827,25.69402794,,,,1224,023,468211,,46,468,4682,46821,,COLONIA,2026-04,190390001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"AVENIDA, GENERAL BERNARDO REYES, 1823, INDUSTRIAL, 64440, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,8,84,Auto Electrica Diesel,Refacciones diesel y camión,nuevo-leon,monterrey,auto-electrica-diesel-monterrey-296498,/nuevo-leon/monterrey/auto-electrica-diesel-monterrey-296498/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/auto-electrica-diesel-monterrey-296498/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Auto Electrica Diesel en Monterrey, Nuevo León","Auto Electrica Diesel | Refaccionaria en Monterrey, Nuevo León","Ficha de Auto Electrica Diesel, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Auto Electrica Diesel es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211009011001000000U3,8391719,ROSCO REFACCIONARIA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,PENITENCIARIA,2343,,FERROCARRILERA,64250,"Monterrey, Monterrey, Nuevo León",8183010240,VENTAS11@ROSCO.COM.MX,WWW.ROSCO.COM.MX,Fijo,-100.341789,25.72497738,,,,0531,040,468211,,46,468,4682,46821,,COLONIA,2019-11,190390001,A,listo para publicar,alta,16,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"AVENIDA, PENITENCIARIA, 2343, FERROCARRILERA, 64250, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,9,83,Rosco Refaccionaria,Refacciones diesel y camión,nuevo-leon,monterrey,rosco-refaccionaria-monterrey-391719,/nuevo-leon/monterrey/rosco-refaccionaria-monterrey-391719/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/rosco-refaccionaria-monterrey-391719/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Rosco Refaccionaria en Monterrey, Nuevo León","Rosco Refaccionaria | Refaccionaria en Monterrey, Nuevo León","Ficha de Rosco Refaccionaria, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Rosco Refaccionaria es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
19039468211010341000000000U1,8288046,REFACCIONARIA SCORPION 77,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,JOSE MANUEL OTHON,2726,,PABLO A. DE LA GARZA,64580,"Monterrey, Monterrey, Nuevo León",8183548989,PDELACRUZF@GMAIL.COM,SCORPION77.COM,Fijo,-100.28767482,25.68436606,,,,1328,012,468211,,46,468,4682,46821,,COLONIA,2019-11,190390001,A,listo para publicar,alta,16,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes,publicar ficha y preparar contacto comercial,Monterrey,"CALLE, JOSE MANUEL OTHON, 2726, PABLO A. DE LA GARZA, 64580, Monterrey, Monterrey, Nuevo León",sí,sí,sí,sí,10,83,Refaccionaria Scorpion 77,Refacciones diesel y camión,nuevo-leon,monterrey,refaccionaria-scorpion-77-monterrey-288046,/nuevo-leon/monterrey/refaccionaria-scorpion-77-monterrey-288046/,https://www.rankearefaccionarias.info/nuevo-leon/monterrey/refaccionaria-scorpion-77-monterrey-288046/,published,2026-08-23,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-23,AutoPartsStore,"Refaccionaria Scorpion 77 en Monterrey, Nuevo León","Refaccionaria Scorpion 77 | Refaccionaria en Monterrey, Nuevo León","Ficha de Refaccionaria Scorpion 77, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Monterrey, Nuevo León.","Refaccionaria Scorpion 77 es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Monterrey, Nuevo León.",DENUE/INEGI,ok_para_publicar
