CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo,clasificacion,estatus_publicacion,prioridad_comercial,score_publicabilidad,motivo_clasificacion,accion_siguiente,municipio,direccion_completa,tiene_telefono,tiene_correo,tiene_web,tiene_coordenadas,publish_rank,publication_score,public_name,category_public,estado_slug,municipio_slug,business_slug,url_path,canonical_url,published_status,published_at,scheduled_date,publication_batch,noindex,sitemap_include,sitemap_priority,sitemap_changefreq,lastmod,schema_type,h1,seo_title,seo_description,public_description,source,pre_publish_check,website_normalized,website_status,website_status_detail,website_http_status,website_final_url,show_website_button
22014468211009151000000000U5,10251524,SPR AUTOPARTES,SPR AUTOPARTES,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,PLATEROS,205,,SAN PEDRITO PEÑUELAS,76138,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4424601920,ADMIN@AOMARKET.COM.MX,WWW.AOMARKET.COM.MX,Fijo,-100.39550184,20.64056985,,,,1354,004,468211,,46,468,4682,46821,,COLONIA,2024-11,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"CALLE, PLATEROS, 205, SAN PEDRITO PEÑUELAS, 76138, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,1,84,Spr Autopartes,Refacciones diesel y camión,queretaro,queretaro,spr-autopartes-queretaro-251524,/queretaro/queretaro/spr-autopartes-queretaro-251524/,https://www.rankearefaccionarias.info/queretaro/queretaro/spr-autopartes-queretaro-251524/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Spr Autopartes en Querétaro, Querétaro","Spr Autopartes | Refaccionaria en Querétaro, Querétaro","Ficha de Spr Autopartes, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Spr Autopartes es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.aomarket.com.mx/,broken,ENOTFOUND,,,false
22014468420001183001000000U3,3550286,REFACCIONES Y SERVICIO LOS ANGELES,REFACCIONES Y SERVICIO LOS ANGELES,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,LUIS PASTEUR,141,,ALAMEDA,76040,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4422126086,REFACCIONES_ANGELES@HOTMAIL.COM,WWW.REFACCIONESSERVICIOLOSNAGELES.COM,Fijo,-100.38509460,20.58534823,,,,2348,036,468211,,46,468,4682,46821,,COLONIA,2010-07,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"AVENIDA, LUIS PASTEUR, 141, ALAMEDA, 76040, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,2,84,Refacciones Y Servicio Los Angeles,Refacciones diesel y camión,queretaro,queretaro,refacciones-y-servicio-los-angeles-queretaro-550286,/queretaro/queretaro/refacciones-y-servicio-los-angeles-queretaro-550286/,https://www.rankearefaccionarias.info/queretaro/queretaro/refacciones-y-servicio-los-angeles-queretaro-550286/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Refacciones Y Servicio Los Angeles en Querétaro, Querétaro","Refacciones Y Servicio Los Angeles | Refaccionaria en Querétaro, Querétaro","Ficha de Refacciones Y Servicio Los Angeles, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Refacciones Y Servicio Los Angeles es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.refaccionesserviciolosnageles.com/,broken,ENOTFOUND,,,false
22014468211008241000000000U5,8346211,FILTROS LUBRICANTES Y REFACCIONES GAMEZ,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,FRAY F GALINDO,21,,VILLAS DEL SUR,76040,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4422140155,MANUELGAMEZCANO@YAHOO.COM,WWW.FILTROSGAMEZ.COM,Fijo,-100.38559655,20.58110838,,,,0515,038,468211,,46,468,4682,46821,,COLONIA,2019-11,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"CALLE, FRAY F GALINDO, 21, VILLAS DEL SUR, 76040, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,3,84,Filtros Lubricantes Y Refacciones Gamez,Refacciones diesel y camión,queretaro,queretaro,filtros-lubricantes-y-refacciones-gamez-queretaro-346211,/queretaro/queretaro/filtros-lubricantes-y-refacciones-gamez-queretaro-346211/,https://www.rankearefaccionarias.info/queretaro/queretaro/filtros-lubricantes-y-refacciones-gamez-queretaro-346211/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Filtros Lubricantes Y Refacciones Gamez en Querétaro, Querétaro","Filtros Lubricantes Y Refacciones Gamez | Refaccionaria en Querétaro, Querétaro","Ficha de Filtros Lubricantes Y Refacciones Gamez, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Filtros Lubricantes Y Refacciones Gamez es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.filtrosgamez.com/,working,ok,200,https://www.filtrosgamez.com/,true
22014468211010412000000000U8,11755057,EMBLER AUTOPARTES,EMBLER AUTOPARTES,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,BOULEVARD,BERNARDO QUINTANA,4231,,ALAMOS TERCERA SECCION,76160,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4423539831,LUIS.PO@MBLERAUTOPARTES.MX,WWW.EMBLERAUTOPARTES.COM,Fijo,-100.38488214,20.61295596,,,,2244,021,468211,,46,468,4682,46821,,COLONIA,2025-04,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"BOULEVARD, BERNARDO QUINTANA, 4231, ALAMOS TERCERA SECCION, 76160, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,4,84,Embler Autopartes,Refacciones diesel y camión,queretaro,queretaro,embler-autopartes-queretaro-755057,/queretaro/queretaro/embler-autopartes-queretaro-755057/,https://www.rankearefaccionarias.info/queretaro/queretaro/embler-autopartes-queretaro-755057/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Embler Autopartes en Querétaro, Querétaro","Embler Autopartes | Refaccionaria en Querétaro, Querétaro","Ficha de Embler Autopartes, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Embler Autopartes es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.emblerautopartes.com/,working,ok,200,https://emblerautopartes.mx/,true
22014468211003931001000000U6,3595651,EL MAY AUTOPARTES,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,2,1401,,LOMAS DE CASA BLANCA,76080,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4608680595,QUERETAROCOLISION@GMAIL.COM,WWW.ELMAYAUTOPARTES.COM,Fijo,-100.39469547,20.57486229,,,,0572,011,468211,,46,468,4682,46821,,COLONIA,2014-12,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"AVENIDA, 2, 1401, LOMAS DE CASA BLANCA, 76080, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,5,84,El May Autopartes,Refacciones diesel y camión,queretaro,queretaro,el-may-autopartes-queretaro-595651,/queretaro/queretaro/el-may-autopartes-queretaro-595651/,https://www.rankearefaccionarias.info/queretaro/queretaro/el-may-autopartes-queretaro-595651/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"El May Autopartes en Querétaro, Querétaro","El May Autopartes | Refaccionaria en Querétaro, Querétaro","Ficha de El May Autopartes, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","El May Autopartes es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.elmayautopartes.com/,working,ok,200,https://elmayautopartes.com.mx/,true
22014468211003293000000000U1,3550392,CLUCH Y FRENOS BUSA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,PRIVADA,PEDRO ESCOBEDO,9,,MERCURIO,76040,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4422124899,CLUTCHYFRENOSBUSA@HOTMAIL.COM,WWW.BUSAQRO.COM,Fijo,-100.38399146,20.58400215,,,,2348,032,468211,,46,468,4682,46821,,COLONIA,2010-07,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"PRIVADA, PEDRO ESCOBEDO, 9, MERCURIO, 76040, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,6,84,Cluch Y Frenos Busa,Frenos y clutch,queretaro,queretaro,cluch-y-frenos-busa-queretaro-550392,/queretaro/queretaro/cluch-y-frenos-busa-queretaro-550392/,https://www.rankearefaccionarias.info/queretaro/queretaro/cluch-y-frenos-busa-queretaro-550392/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Cluch Y Frenos Busa en Querétaro, Querétaro","Cluch Y Frenos Busa | Refaccionaria en Querétaro, Querétaro","Ficha de Cluch Y Frenos Busa, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Cluch Y Frenos Busa es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.busaqro.com/,working,ok,200,https://busaqro.com/,true
22014468211003052001000000U1,3554710,AUTOPARTES LA LUNA,AUTOPARTES LA LUNA,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,ARTICULO 123 CONSTITUCIONAL,87,,CASA BLANCA,76030,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4424764228,ADMINISTRACION@AUTOPARTESLALUNA.COM,WWW.AUTOPARTESLALUNA.COM,Fijo,-100.39859692,20.57969442,,,,0483,007,468211,,46,468,4682,46821,,COLONIA,2010-07,220140001,A,listo para publicar,alta,17,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes; señal comercial B2B/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"CALLE, ARTICULO 123 CONSTITUCIONAL, 87, CASA BLANCA, 76030, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,7,84,Autopartes La Luna,Refacciones diesel y camión,queretaro,queretaro,autopartes-la-luna-queretaro-554710,/queretaro/queretaro/autopartes-la-luna-queretaro-554710/,https://www.rankearefaccionarias.info/queretaro/queretaro/autopartes-la-luna-queretaro-554710/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Autopartes La Luna en Querétaro, Querétaro","Autopartes La Luna | Refaccionaria en Querétaro, Querétaro","Ficha de Autopartes La Luna, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Autopartes La Luna es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.autoparteslaluna.com/,broken,ENOTFOUND,,,false
22014468211010061000000000U3,10224361,ROLCAR REFACCIONARIA ,ROLCAR REFACCIONARIA,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,OTRO(ESPECIFIQUE),HIDALGO,2181,,EL ARCANGEL,76117,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4421327606,MEX.BERNARDOQUINTANA@IDCAR.COM,WWW.ROLCAR.COM,Fijo,-100.45490727,20.61838669,,,,4787,034,468211,,46,468,4682,46821,,COLONIA,2024-11,220140001,A,listo para publicar,alta,16,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"OTRO(ESPECIFIQUE), HIDALGO, 2181, EL ARCANGEL, 76117, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,8,83,Rolcar Refaccionaria,Refacciones diesel y camión,queretaro,queretaro,rolcar-refaccionaria-queretaro-224361,/queretaro/queretaro/rolcar-refaccionaria-queretaro-224361/,https://www.rankearefaccionarias.info/queretaro/queretaro/rolcar-refaccionaria-queretaro-224361/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Rolcar Refaccionaria en Querétaro, Querétaro","Rolcar Refaccionaria | Refaccionaria en Querétaro, Querétaro","Ficha de Rolcar Refaccionaria, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Rolcar Refaccionaria es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.rolcar.com/,working,ok,200,https://www.rolcar.com/,true
22014468211007731000000000U6,8720702,LLANTAS VENTUS SPORT QUERETARO,LLANTAS VENTUS SPORT QUERETARO,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,AVENIDA,AVENIDA DE LA LUZ,131,,SATELITE,76110,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4442463345,AVANTE_SATELITE@HOTMAIL.COM,WWW.TODOLLANTAS.MX,Fijo,-100.44540890,20.63913171,,,,0106,010,468211,,46,468,4682,46821,,COLONIA,2019-11,220140001,A,listo para publicar,alta,16,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"AVENIDA, AVENIDA DE LA LUZ, 131, SATELITE, 76110, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,9,83,Llantas Ventus Sport Queretaro,Refacciones diesel y camión,queretaro,queretaro,llantas-ventus-sport-queretaro-queretaro-720702,/queretaro/queretaro/llantas-ventus-sport-queretaro-queretaro-720702/,https://www.rankearefaccionarias.info/queretaro/queretaro/llantas-ventus-sport-queretaro-queretaro-720702/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Llantas Ventus Sport Queretaro en Querétaro, Querétaro","Llantas Ventus Sport Queretaro | Refaccionaria en Querétaro, Querétaro","Ficha de Llantas Ventus Sport Queretaro, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Llantas Ventus Sport Queretaro es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.todollantas.mx/,working,ok,200,https://www.todollantas.mx/,true
22014468211009872000000000U6,11030170,GOVI REFACCIONARIA,GOVI SUSPENSION AUTOMOTRIZ,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,BOULEVARD,NINGUNO,,,SAN PEDRO MARTIR,76117,"SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO                               ",4461468632,VTS.QRO3@GOVI.MX,WWW.GOVI.COM.MX,Fijo,-100.45445478,20.61806154,,,,4787,034,468211,,46,468,4682,46821,,COLONIA,2024-11,220140001,A,listo para publicar,alta,16,tiene teléfono; tiene correo; tiene sitio web; tiene coordenadas; dirección suficiente; nombre relevante para refacciones/autopartes,publicar ficha y preparar contacto comercial,Querétaro,"BOULEVARD, NINGUNO, SAN PEDRO MARTIR, 76117, SANTIAGO DE QUERÉTARO                                                                                         , Querétaro, QUERÉTARO",sí,sí,sí,sí,10,83,Govi Refaccionaria,Refacciones diesel y camión,queretaro,queretaro,govi-refaccionaria-queretaro-030170,/queretaro/queretaro/govi-refaccionaria-queretaro-030170/,https://www.rankearefaccionarias.info/queretaro/queretaro/govi-refaccionaria-queretaro-030170/,published,2026-08-21,,top_100_lanzamiento,false,true,0.8,monthly,2026-08-21,AutoPartsStore,"Govi Refaccionaria en Querétaro, Querétaro","Govi Refaccionaria | Refaccionaria en Querétaro, Querétaro","Ficha de Govi Refaccionaria, negocio registrado en DENUE dentro del giro de refacciones y autopartes en Querétaro, Querétaro.","Govi Refaccionaria es un negocio registrado en DENUE/INEGI dentro del giro de comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones en Querétaro, Querétaro.",DENUE/INEGI,ok_para_publicar,https://www.govi.com.mx/,broken,ENOTFOUND,,,false
